frame_index,stamp_sec,stamp_nsec,base_link_x,base_link_y,base_link_yaw,base_link_op_x,base_link_op_y,base_link_op_yaw
104,11296,126000000,2.255163,-7.644047,-0.028825,-4.590878,-3.616692,-1.533589
105,11296,226000000,2.355109,-7.646928,-0.028789,-4.598219,-3.714923,-1.539237
106,11296,326000000,2.460889,-7.639027,-0.024561,-4.594930,-3.814868,-1.531924
107,11296,426000000,2.560848,-7.641481,-0.024562,-4.590458,-3.914768,-1.521892
108,11296,527000000,2.660808,-7.643935,-0.024564,-4.587050,-4.012529,-1.520144
109,11296,626000000,2.758776,-7.641085,-0.021709,-4.581076,-4.122369,-1.516342
110,11296,727000000,2.858744,-7.643252,-0.021671,-4.575894,-4.212221,-1.514324
111,11296,826000000,2.958706,-7.642608,0.062676,-4.572331,-4.311198,-1.513770
112,11296,926000000,3.057609,-7.627726,0.237301,-4.566478,-4.411027,-1.512858
113,11297,26000000,3.130793,-7.594145,0.448527,-4.560528,-4.510851,-1.511829
114,11297,127000000,3.214800,-7.537568,0.663112,-4.545784,-4.606664,-1.505419
115,11297,226000000,3.282328,-7.462272,0.880349,-4.539269,-4.706452,-1.509593
116,11297,327000000,3.343058,-7.367265,0.962259,-4.532947,-4.816270,-1.516674
117,11297,426000000,3.397164,-7.280654,0.962256,-4.527055,-4.918176,-1.518547
118,11297,527000000,3.450498,-7.191312,0.963778,-4.521944,-5.018046,-1.517922
119,11297,626000000,3.505969,-7.106799,0.963843,-4.516659,-5.117906,-1.516646
120,11297,726000000,3.561892,-7.022952,0.963823,-4.519837,-5.217599,-1.520947
121,11297,826000000,3.632375,-6.931475,0.968321,-4.514563,-5.317460,-1.513194
122,11297,926000000,3.688481,-6.848211,0.968323,-4.508226,-5.417260,-1.504099
123,11298,26000000,3.752028,-6.765658,0.964875,-4.493390,-5.504997,-1.493884
124,11298,127000000,3.810481,-6.679446,0.965632,-4.485559,-5.604692,-1.498305
125,11298,227000000,3.867180,-6.596897,0.965633,-4.478463,-5.704440,-1.501416
126,11298,327000000,3.936030,-6.491679,0.973668,-4.468199,-5.805863,-1.488030
127,11298,426000000,3.992166,-6.408836,0.973668,-4.459219,-5.905462,-1.479505
128,11298,526000000,4.048331,-6.326039,0.973684,-4.449258,-6.004967,-1.460316
129,11298,627000000,4.105912,-6.246508,0.969700,-4.437744,-6.105431,-1.442052
130,11298,726000000,4.162440,-6.163991,0.969698,-4.423122,-6.204377,-1.407552
131,11298,826000000,4.218977,-6.081490,0.969702,-4.402626,-6.302305,-1.330646
132,11298,927000000,4.278198,-6.000075,0.965866,-4.386176,-6.383574,-1.274365
133,11299,27000000,4.335061,-5.917809,0.965868,-4.353692,-6.473962,-1.200959
134,11299,126000000,4.335061,-5.917809,0.965868,-4.353692,-6.473962,-1.200959
135,11299,226000000,4.391926,-5.835547,0.965875,-4.321845,-6.548128,-1.143366
136,11299,327000000,4.443819,-5.753682,0.968250,-4.278235,-6.632544,-1.073593
137,11299,426000000,4.500398,-5.671228,0.978385,-4.238894,-6.692252,-1.024890
138,11299,526000000,4.551916,-5.585568,1.095188,-4.184751,-6.769356,-0.960177
139,11299,626000000,4.589737,-5.492836,1.253532,-4.138908,-6.824686,-0.909681
140,11299,727000000,4.617422,-5.299155,1.625842,-4.076895,-6.897385,-0.846756
141,11299,827000000,4.617422,-5.299155,1.625842,-4.009729,-6.959127,-0.801628
142,11299,926000000,4.596138,-5.199209,1.834835,-3.950439,-7.017699,-0.747112
143,11300,26000000,4.552990,-5.105637,2.047591,-3.875094,-7.081860,-0.707082
144,11300,126000000,4.475213,-5.013491,2.073782,-3.796404,-7.144677,-0.668494
145,11300,226000000,4.420903,-4.926668,2.073790,-3.703859,-7.199525,-0.632805
146,11300,326000000,4.368291,-4.839603,2.073792,-3.619739,-7.257430,-0.597839
147,11300,427000000,4.316914,-4.752367,2.073794,-3.533422,-7.312306,-0.572720
148,11300,527000000,4.231704,-4.650733,2.090843,-3.446185,-7.365582,-0.544546
149,11300,627000000,4.180390,-4.564156,2.090839,-3.361264,-7.412256,-0.521365
150,11300,727000000,4.117834,-4.472925,2.088327,-3.271752,-7.460846,-0.490901
151,11300,826000000,4.067545,-4.386111,2.088326,-3.180620,-7.505833,-0.445442
152,11300,926000000,4.001136,-4.304922,2.095422,-3.087660,-7.546440,-0.414655
153,11301,26000000,3.950648,-4.218411,2.095421,-3.013635,-7.596361,-0.407470
154,11301,126000000,3.900282,-4.131885,2.095362,-2.920015,-7.634320,-0.392976
155,11301,227000000,3.844279,-4.034478,2.092391,-2.826105,-7.671034,-0.362913
