cx,cy,ix,iy,ox,oy
-4.485592366145956,4.616807329107576,,,,
-4.44693639449499,4.8226641909195385,,,,
-4.399017402560062,5.022788031937924,,,,
-4.339122299197496,5.2136965750442075,,,,
-4.264537993263613,5.391907543119859,,,,
-4.172551393614732,5.553938659046352,,,,
-4.060462098599914,5.696321025944775,,,,
-3.927303004415902,5.817413396081315,,,,
-3.7755853794488994,5.919242237554562,,,,
-3.608236230047034,6.004272386936103,,,,
-3.4281825625584252,6.074968680797513,,,,
-3.238351383331216,6.133795955710367,,,,
-3.04166969871352,6.18321904824624,,,,
-2.8410645150534806,6.2257027949767085,,,,
-2.6394589407947566,6.263709102602347,,,,
-2.438911441797753,6.299049966758586,,,,
-2.2395322019991433,6.33207295141317,,,,
-2.041164796338038,6.362925223119977,,,,
-1.8436527997535157,6.391753948432889,,,,
-1.6468397871846878,6.418706293905784,,,,
-1.4505693335706336,6.443929426092545,,,,
-1.2546850138504633,6.467570511547054,,,,
-1.0590304029632571,6.48977671682319,,,,
-0.8634490758481241,6.5106952084748375,,,,
-0.6677846074441458,6.5304731530558735,,,,
-0.4718805726904305,6.54925771712018,,,,
-0.27558054652606667,6.567196067221639,,,,
-0.07872810389014234,6.584435369914132,,,,
0.11883318027823359,6.601122791751539,,,,
0.3172596387452256,6.617405300911903,,,,
0.5166059934311318,6.63321146598249,,,,
0.7166312320648612,6.647834212516087,,,,
0.9170408369228757,6.660451462900053,,,,
1.1175402902816662,6.670241139521754,,,,
1.317835074417695,6.676381164768551,,,,
1.5176306716074524,6.678049461027808,,,,
1.7166325641274005,6.674423950686887,,,,
1.914546234254031,6.6646825561331555,,,,
2.1110771642638047,6.6480031997539735,,,,
2.3059308364332134,6.623563803936703,,,,
2.4988127330387186,6.59054229106871,,,,
2.689428336356811,6.548116583537353,,,,
2.8774831286639535,6.495464603730001,,,,
3.0626825922366345,6.431764274034012,,,,
3.2447322093513202,6.356193516836756,,,,
3.4233374585448026,6.267930256352372,,,,
3.5976777353871348,6.166409400689101,,,,
3.7649482446821416,6.052035106347472,,,,
3.921876482571351,5.925439998721577,,,,
4.065189945196272,5.787256703205535,,,,
4.19161612869843,5.638117845193436,,,,
4.297882529219336,5.478656050079399,,,,
4.380716642900513,5.309503943257512,,,,
4.436845994228576,5.131294154001023,,,,
4.4644926833622645,4.944863849479291,,,,
4.467385777733148,4.751803844549911,,,,
4.450522408051498,4.553878492955118,,,,
4.418899705027582,4.352852148437186,,,,
4.3775147993716725,4.150489164738352,,,,
4.331364821794041,3.948553895600885,,,,
4.285446903004954,3.7488106947670277,,,,
4.243387622358888,3.5526117783338456,,,,
4.203129154525586,3.3596000086034827,,,,
4.161140172636314,3.1689751521475475,,,,
4.11388934732168,2.979936974785657,,,,
4.05763434030628,2.793128318980262,,,,
3.9876987302376237,2.6155801626353443,,,,
3.899147712138064,2.456090553023541,,,,
3.787046476607465,2.3234575916908526,,,,
3.6481215540618406,2.2238253982776928,,,,
3.4854672639452895,2.153165581843233,,,,
3.303703355480679,2.1050128851344363,,,,
3.1074495778909004,2.072902050898275,,,,
2.901325680398816,2.050367821881714,,,,
2.689951412227318,2.030944940831723,,,,
2.477946522599271,2.00816815049527,,,,
2.2699307607375663,1.975572193619325,,,,
2.06963191548876,1.928129297889648,,,,
1.876883720819101,1.8670873568063426,,,,
1.6904575225916239,1.795406410437952,,,,
1.5091246425281062,1.7160465377591618,,,,
1.3316564023503075,1.631967817744652,,,,
1.1568241237799863,1.5461303293691009,,,,
0.9833991285389218,1.461494151607197,,,,
0.810152738348866,1.381019363433615,,,,
0.637778949667694,1.3047371603862108,,,,
0.47666778252938213,1.2179084170941037,,,,
0.34025882778959265,1.1011484811498853,,,,
0.2419927658684179,0.9350710459985905,,,,
0.19021929028667517,0.7091740141684327,,,,
0.1739583070494852,0.44668742641924375,,,,
