frame_index,stamp_sec,stamp_nsec,global_x,global_y
366,1155,614000000,-4.652921,0.241877
367,1155,714000000,-4.654021,0.139405
368,1155,814000000,-4.654307,0.039418
369,1155,914000000,-4.654655,-0.060568
370,1156,14000000,-4.677646,-0.163927
371,1156,114000000,-4.679308,-0.263902
372,1156,214000000,-4.679638,-0.363891
373,1156,314000000,-4.679775,-0.471776
374,1156,414000000,-4.677752,-0.571752
375,1156,514000000,-4.675857,-0.671729
376,1156,614000000,-4.666107,-0.772371
377,1156,714000000,-4.664664,-0.872346
378,1156,814000000,-4.664101,-0.972354
379,1156,914000000,-4.672120,-1.077802
380,1157,14000000,-4.672993,-1.177800
381,1157,114000000,-4.673240,-1.277798
382,1157,214000000,-4.662498,-1.377727
383,1157,314000000,-4.660511,-1.477704
384,1157,414000000,-4.659199,-1.577692
385,1157,514000000,-4.658661,-1.677688
386,1157,614000000,-4.668117,-1.776608
387,1157,714000000,-4.667349,-1.876602
388,1157,814000000,-4.672873,-1.964835
389,1157,914000000,-4.670380,-2.064803
390,1158,14000000,-4.667195,-2.164754
391,1158,114000000,-4.670456,-2.266999
392,1158,214000000,-4.666761,-2.366932
393,1158,314000000,-4.662682,-2.466849
394,1158,414000000,-4.662705,-2.551766
395,1158,514000000,-4.658132,-2.651662
396,1158,614000000,-4.653308,-2.751546
397,1158,714000000,-4.636091,-2.834751
398,1158,814000000,-4.630556,-2.934597
399,1158,914000000,-4.625945,-3.034490
400,1159,14000000,-4.618332,-3.125700
401,1159,114000000,-4.614363,-3.225621
402,1159,214000000,-4.610554,-3.325548
403,1159,314000000,-4.620774,-3.429693
404,1159,414000000,-4.617449,-3.529636
405,1159,514000000,-4.612788,-3.629527
406,1159,614000000,-4.625215,-3.709145
407,1159,714000000,-4.619714,-3.808996
408,1159,814000000,-4.612955,-3.908773
409,1159,914000000,-4.592178,-4.008328
410,1160,14000000,-4.583633,-4.107969
411,1160,114000000,-4.576332,-4.207704
412,1160,214000000,-4.584173,-4.202609
413,1160,314000000,-4.573642,-4.412348
414,1160,414000000,-4.573642,-4.412348
415,1160,514000000,-4.564660,-4.496275
416,1160,614000000,-4.557929,-4.596049
417,1160,714000000,-4.551019,-4.695811
418,1160,814000000,-4.541386,-4.794868
419,1160,914000000,-4.535186,-4.894676
420,1161,14000000,-4.529133,-4.994493
421,1161,114000000,-4.523228,-5.094318
422,1161,214000000,-4.517116,-5.197342
423,1161,314000000,-4.510815,-5.297143
424,1161,414000000,-4.493822,-5.409121
425,1161,514000000,-4.487146,-5.508898
426,1161,614000000,-4.480297,-5.608662
427,1161,714000000,-4.467003,-5.708146
428,1161,814000000,-4.459908,-5.807894
429,1161,914000000,-4.451502,-5.907541
430,1162,14000000,-4.444302,-5.995775
431,1162,114000000,-4.432333,-6.095066
432,1162,214000000,-4.418113,-6.194068
